LEFT,RIGHT,DIRECTION
6193.8125,18993.0625,Right
7675.5,15169,Right
10668.0625,14725.125,Right
8785.625,12608.4375,Right
7271.625,11104.625,Right
9355.8125,12619.25,Right
8497.75,17691.9375,Right
7213.4375,18950.25,Right
7645.625,19451.6875,Right
6851.3125,17021.6875,Right
9216.6875,18223.5625,Right
8351.8125,16813.9375,Right
7595.3125,19785,Right
8123.1875,15083.75,Right
11729.3125,13093.5625,Right
8139.75,15487.6875,Right
5783.5,17628.0625,Right
5371.5,21650.25,Right
5132.3125,19381.5625,Right
5541.1875,22066.125,Right
7121,20781.125,Right
10016.9375,16727.375,Right
6381.4375,16140.5625,Right
10643.5,14455.625,Right
11004.375,11954.1875,Right
5370.625,18604.0625,Right
7625.4375,19422.4375,Right
5907.375,17870.5,Right
6847.5625,18190.4375,Right
7093.8125,17786.3125,Right
7325.9375,19387.3125,Right
7719.375,18640.9375,Right
9077.3125,19665,Right
5927.875,19067.9375,Right
5594.6875,18218.375,Right
9057.4375,14486.125,Right
10450.9375,15645.9375,Right
6479.9375,17890.25,Right
4584.0625,17536.6875,Right
5575.4375,15801.1875,Right
12769.875,17237.75,Right
7034.4375,18639.4375,Right
5319.5,16668.8125,Right
6599.1875,16335.875,Right
7797.125,15180.25,Right
8133.5625,16186.125,Right
5610.8125,15057.875,Right
6096.1875,15210.25,Right
5877.8125,15944.0625,Right
5999.125,18369.125,Right
5365.5625,18154.4375,Right
5993.5,18578.6875,Right
5915.4375,19201.0625,Right
5802.8125,16228.1875,Right
6079.375,16550.0625,Right
7780.8125,16587.5625,Right
5179.9375,18757.125,Right
6087.875,16478.0625,Right
8561.1875,21201.625,Right
6215.875,21312.4375,Right
4444.3125,21288.375,Right
3940.9375,22163.9375,Right
6004.75,18553.5,Right
6290.875,19021,Right
4464.625,18830.75,Right
4822.5625,20556.3125,Right
4333.5,19729.875,Right
7553.125,18277.875,Right
8577.0625,15425.0625,Right
5552.5,12985.5,Right
7917.5,15236.8125,Right
5926.5,18604.9375,Right
6384.75,15219.5,Right
6696.3125,18466.3125,Right
8250.25,17853.9375,Right
4815.75,16266.0625,Right
5120.125,17187.3125,Right
8482.125,19676.1875,Right
8491.125,17084.8125,Right
6713.625,15928.25,Right
7315.75,14559.5625,Right
9554.6875,14976.8125,Right
10090.8125,15529.875,Right
7933.25,19201.4375,Right
5336.9375,19489.375,Right
7099.875,15973.8125,Right
8795.875,19425.625,Right
6375.625,16257.9375,Right
9324.4375,19456.25,Right
7843.6875,17734,Right
6409.3125,18265.75,Right
6106.75,16989.625,Right
5405.5,18321.3125,Right
7873.5625,18472.625,Right
4513.5625,19661.125,Right
5398.25,20370.875,Right
5266.8125,17966.625,Right
4481,18419.3125,Right
7635.5,18750.3125,Right
7034.9375,18671.125,Right
5660.625,18212.9375,Right
6235.125,13823.0625,Right
5701.3125,19037.125,Right
5886.875,14179.5,Right
9726.5,14055.6875,Right
6612.875,17324.0625,Right
7117.9375,17761.5625,Right
7896.5,15223.4375,Right
10389.3125,17465.875,Right
4907.75,19461.875,Right
4315.3125,17501.6875,Right
6808.125,14996.625,Right
7590.9375,16479.25,Right
6039.5625,17499.375,Right
